job,marital,education,default,age,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
management,married,tertiary,no,58,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no
technician,single,secondary,no,44,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no
entrepreneur,married,secondary,no,33,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no
blue-collar,married,unknown,no,47,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no
unknown,single,unknown,no,33,1,no,no,unknown,5,may,198,1,-1,0,unknown,no
management,married,tertiary,no,35,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no
management,single,tertiary,no,28,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no
entrepreneur,divorced,tertiary,yes,42,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
retired,married,primary,no,58,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no
technician,single,secondary,no,43,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no
admin.,divorced,secondary,no,41,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no
admin.,single,secondary,no,29,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no
technician,married,secondary,no,53,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no
technician,married,unknown,no,58,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no
services,married,secondary,no,57,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no
retired,married,primary,no,51,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no
admin.,single,unknown,no,45,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no
blue-collar,married,primary,no,57,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
retired,married,primary,no,60,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no
services,married,secondary,no,33,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no
blue-collar,married,secondary,no,28,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no
management,married,tertiary,no,56,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no
blue-collar,single,primary,no,32,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no
services,married,secondary,no,25,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no
retired,married,primary,no,40,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
admin.,married,secondary,no,44,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no
management,single,tertiary,no,39,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no
entrepreneur,married,secondary,no,52,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
management,single,secondary,no,46,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no
technician,single,secondary,no,36,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no
technician,married,secondary,no,57,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no
management,married,tertiary,no,49,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no
admin.,married,secondary,no,60,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no
blue-collar,married,secondary,no,59,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
management,married,tertiary,no,51,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no
technician,divorced,secondary,no,57,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no
blue-collar,married,secondary,no,25,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no
technician,married,secondary,no,53,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no
admin.,divorced,secondary,no,36,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no
admin.,single,secondary,no,37,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no
services,divorced,secondary,no,44,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no
management,married,secondary,no,50,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no
blue-collar,married,unknown,no,60,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no
retired,married,secondary,no,54,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no
retired,married,unknown,no,58,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no
admin.,single,primary,no,36,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no
self-employed,married,tertiary,no,58,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no
technician,married,secondary,no,44,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no
technician,divorced,secondary,no,55,0,no,no,unknown,5,may,160,1,-1,0,unknown,no
management,single,tertiary,no,29,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no
blue-collar,married,secondary,no,54,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no
management,divorced,tertiary,no,48,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no
management,married,tertiary,no,32,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no
admin.,single,secondary,no,42,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no
technician,single,secondary,no,24,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no
entrepreneur,single,tertiary,no,38,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no
management,single,tertiary,no,38,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no
blue-collar,married,unknown,no,47,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no
blue-collar,single,unknown,no,40,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no
services,married,primary,no,46,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no
admin.,married,tertiary,no,32,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no
technician,divorced,secondary,no,53,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no
blue-collar,married,primary,no,57,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no
services,married,secondary,no,33,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no
blue-collar,married,unknown,no,49,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no
management,married,tertiary,no,51,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no
retired,married,tertiary,no,60,100,no,no,unknown,5,may,528,1,-1,0,unknown,no
management,divorced,tertiary,no,59,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no
technician,married,secondary,no,55,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,no
blue-collar,single,secondary,no,35,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no
blue-collar,married,secondary,no,57,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no
services,married,secondary,no,31,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no
management,married,secondary,no,54,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no
blue-collar,married,primary,no,55,23,yes,no,unknown,5,may,291,1,-1,0,unknown,no
technician,married,secondary,no,43,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no
technician,married,secondary,no,53,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no
blue-collar,married,secondary,no,44,582,no,yes,unknown,5,may,211,1,-1,0,unknown,no
services,divorced,secondary,no,55,91,no,no,unknown,5,may,349,1,-1,0,unknown,no
services,divorced,secondary,no,49,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no
services,divorced,secondary,yes,55,1,yes,no,unknown,5,may,208,1,-1,0,unknown,no
admin.,single,secondary,no,45,206,yes,no,unknown,5,may,193,1,-1,0,unknown,no
services,divorced,secondary,no,47,164,no,no,unknown,5,may,212,1,-1,0,unknown,no
technician,single,secondary,no,42,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no
admin.,married,secondary,no,59,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes
self-employed,married,tertiary,no,46,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no
blue-collar,married,primary,no,51,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no
admin.,married,secondary,no,56,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes
technician,married,secondary,no,41,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes
management,divorced,secondary,no,46,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no
retired,married,secondary,no,57,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no
management,single,secondary,no,42,50,no,no,unknown,5,may,48,1,-1,0,unknown,no
technician,married,secondary,no,30,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no
admin.,married,secondary,no,60,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no
